Npoints	Mvalue	sigmax_ave	sigmay_ave	stdx	stdy	rx_ave	ry_ave
37	200	4.02407340966	3.53759046969	0.101816021396	0.100523982325	0.983562988918	0.979080808705
33	205	3.73944436547	3.26166589089	0.0751537823919	0.0707385119995	0.985860648425	0.982841921353
6	210	3.4294361838	3.00699659745	0.0875939603188	0.0535030083713	0.984509280854	0.982575623409
17	215	3.00803700422	2.55794176195	0.077527831255	0.0658334806367	0.986092907993	0.984959903862
4	220	2.99472977636	2.49851009013	0.137563704352	0.167502094979	0.914815200509	0.934388168236
21	225	2.63418938755	2.05277819668	0.096800960921	0.077229179124	0.928079388326	0.942457995464
14	230	2.35742329274	1.79144835267	0.114511160612	0.0576919142845	0.935409063658	0.953760184158
21	235	2.01921537062	1.52476577858	0.0674863306768	0.0346475371709	0.942801795579	0.962543411187
26	240	1.66633984404	1.27132600735	0.0648529938118	0.0482656679648	0.947606215469	0.967656241507
38	245	1.38023548629	1.03617790768	0.040624881479	0.021928709794	0.960187155258	0.973686979952
