Npoints	Mvalue	sigmax_ave	sigmay_ave	stdx	stdy	rx_ave	ry_ave
6	200	9.86702785741	8.7492167684	0.114030540351	0.125983512786	0.9882711484	0.943835248539
12	205	8.70143102709	7.69209983988	0.124387337999	0.135087172066	0.988135707949	0.942358108663
17	210	7.6067005622	6.59409494023	0.102016853485	0.159284946521	0.986820690551	0.936976614827
13	215	6.76651975307	5.69076441157	0.101850340149	0.156985111418	0.98995543529	0.930641862246
9	220	5.76773568167	4.95121737227	0.0951997645202	0.164868501104	0.990188137853	0.921042067389
8	225	4.67446198514	3.66454482668	0.0815826265661	0.0869639847007	0.977212005676	0.922666187528
11	230	3.97674122679	3.17683614433	0.0852209251906	0.122163298856	0.978750238989	0.932150975689
9	235	3.36423559303	2.89302436229	0.0344266908192	0.0916704796446	0.98211513488	0.955004503044
10	240	3.02800444236	2.78557531289	0.041836663091	0.0792071928536	0.986889969689	0.980263757527
4	245	2.84272471169	2.64627692549	0.0326309272031	0.0746507414019	0.983839401682	0.985227053823
11	250	2.78782183612	2.49780815589	0.0588120595303	0.0615719767216	0.976237782964	0.980591093984
16	255	2.72226776735	2.42771209402	0.0759718137513	0.0514833370363	0.973150001927	0.975175084552
12	260	2.76968365299	2.55059076148	0.0242241036359	0.0325359679285	0.974711331728	0.978433378696
6	265	2.90615154676	2.81981611848	0.0630444239105	0.0490270771768	0.977382896184	0.980738890739
14	270	3.20848068712	3.18698648985	0.0458974829212	0.0409324751879	0.975244203689	0.982409938406
